Transaction ID,Transaction Date,Settlement Date,Merchant,Transaction Type,Currency,Transaction Amount,Transaction Status,Reference Number,Source/System,Customer Reference
TXN100000,2026-07-09,2026-07-10,Utility Co,Purchase,INR,2561.37,Completed,REF200000,External Settlement File,CUST8633
TXN100001,2026-07-01,2026-07-04,Utility Co,Reversal,INR,647.44,Completed,REF200001,External Settlement File,CUST9611
TXN100002,2026-07-23,2026-07-24,Retailer B,Purchase,EUR,1112.31,Completed,REF200002,External Settlement File,CUST9800
TXN100003,2026-07-29,2026-07-30,Utility Co,Reversal,EUR,370.72,Completed,REF200003,External Settlement File,CUST4287
TXN100004,2026-07-16,2026-07-17,Food Services,Purchase,INR,927.97,Pending,REF200004,External Settlement File,CUST3602
TXN100006,2026-07-04,2026-07-07,Digital Store,Purchase,INR,463.93,Completed,REF200006,External Settlement File,CUST5446
TXN100007,2026-07-25,2026-07-28,Retailer B,Purchase,EUR,2439.77,Completed,REF200007,External Settlement File,CUST8424
TXN100008,2026-07-25,2026-07-26,Utility Co,Purchase,USD,467.41,Completed,REF200008,External Settlement File,CUST6060
TXN100009,2026-07-01,2026-07-02,Digital Store,Purchase,USD,588.65,Completed,REF200009,External Settlement File,CUST4944
TXN100010,2026-07-05,2026-07-06,Digital Store,Purchase,GBP,1650.26,Completed,REF200010,External Settlement File,CUST4043
TXN100011,2026-07-10,2026-07-11,Retailer B,Purchase,GBP,936.23,Completed,REF200011,External Settlement File,CUST4846
TXN100012,2026-07-13,2026-07-14,Digital Store,Purchase,INR,354.0,Completed,REF200012,External Settlement File,CUST5435
TXN100013,2026-07-15,2026-07-17,Digital Store,Purchase,INR,735.6,Completed,REF200013,External Settlement File,CUST8754
TXN100014,2026-07-06,2026-07-08,Retailer B,Purchase,INR,2526.73,Completed,REF200014,External Settlement File,CUST6787
TXN100015,2026-07-28,2026-07-30,Food Services,Purchase,INR,656.54,Completed,REF200015,External Settlement File,CUST5827
TXN100016,2026-07-16,2026-07-18,Retailer A,Purchase,INR,447.41,Completed,REF200016,External Settlement File,CUST6735
TXN100017,2026-07-12,2026-07-13,Retailer B,Purchase,EUR,334.23,Completed,REF200017,External Settlement File,CUST5422
TXN100018,2026-07-15,2026-07-17,Travel Co,Reversal,INR,997.64,Completed,REF200018,External Settlement File,CUST3623
TXN100019,2026-07-14,2026-07-15,Retailer A,Purchase,INR,1503.56,Completed,REF200019,External Settlement File,CUST5935
TXN100020,2026-07-26,2026-07-27,Retailer B,Purchase,INR,501.52,Completed,REF200020,External Settlement File,CUST7087
TXN100021,2026-07-18,2026-07-19,Retailer B,Purchase,INR,470.5,Pending,REF200021,External Settlement File,CUST8342
TXN100022,2026-07-19,2026-07-20,Food Services,Purchase,INR,792.06,Pending,REF200022,External Settlement File,CUST5868
TXN100023,2026-07-21,2026-07-22,Travel Co,Purchase,INR,683.35,Completed,REF200023,External Settlement File,CUST1349
TXN100024,2026-07-02,2026-07-03,Utility Co,Purchase,USD,2042.89,Completed,REF200024,External Settlement File,CUST4477
TXN100025,2026-07-28,2026-07-31,Retailer A,Purchase,USD,812.04,Completed,REF200025,External Settlement File,CUST1947
TXN100026,2026-07-26,2026-07-27,Retailer B,Purchase,INR,556.41,Completed,REF200026,External Settlement File,CUST5378
TXN100027,2026-07-07,2026-07-08,Retailer B,Purchase,INR,651.14,Completed,REF200027,External Settlement File,CUST5406
TXN100028,2026-07-03,2026-07-04,Retailer B,Purchase,INR,851.75,Completed,REF200028,External Settlement File,CUST8520
TXN100029,2026-07-01,2026-07-02,Retailer B,Refund,GBP,1036.73,Completed,REF200029,External Settlement File,CUST4135
TXN100030,2026-07-23,2026-07-24,Retailer A,Purchase,INR,369.01,Completed,REF200030,External Settlement File,CUST1265
TXN100031,2026-07-08,2026-07-09,Retailer A,Reversal,INR,1186.19,Completed,REF200031,External Settlement File,CUST9000
TXN100032,2026-07-26,2026-07-27,Digital Store,Purchase,INR,429.59,Completed,REF200032,External Settlement File,CUST3492
TXN100033,2026-07-14,2026-07-17,Retailer A,Purchase,USD,1449.85,Completed,REF200033,External Settlement File,CUST3659
TXN100034,2026-07-14,2026-07-15,Retailer A,Purchase,INR,268.74,Completed,REF200034,External Settlement File,CUST7986
TXN100035,2026-07-26,2026-07-28,Food Services,Purchase,INR,889.14,Completed,REF200035,External Settlement File,CUST1996
TXN100036,2026-07-24,2026-07-25,Food Services,Purchase,USD,1017.18,Pending,REF200036,External Settlement File,CUST6294
TXN100037,2026-07-11,2026-07-12,Digital Store,Purchase,INR,547.2,Completed,REF200037,External Settlement File,CUST9279
TXN100038,2026-07-08,2026-07-10,Retailer A,Purchase,USD,1123.99,Completed,REF200038,External Settlement File,CUST3138
TXN100039,2026-07-02,2026-07-03,Retailer A,Purchase,INR,802.72,Completed,REF200039,External Settlement File,CUST2639
TXN100040,2026-07-02,2026-07-03,Utility Co,Purchase,INR,934.44,Completed,REF200040,External Settlement File,CUST9721
TXN100041,2026-07-24,2026-07-26,Travel Co,Purchase,INR,2130.27,Pending,REF200041,External Settlement File,CUST5949
TXN100042,2026-07-18,2026-07-19,Retailer A,Reversal,USD,1864.39,Completed,REF200042,External Settlement File,CUST5752
TXN100043,2026-07-26,2026-07-27,Food Services,Refund,INR,442.15,Completed,REF200043,External Settlement File,CUST6418
TXN100044,2026-07-26,2026-07-28,Travel Co,Purchase,INR,2575.91,Pending,REF200044,External Settlement File,CUST6061
TXN100045,2026-07-03,2026-07-05,Retailer B,Reversal,INR,650.89,Completed,REF200045,External Settlement File,CUST2792
TXN100046,2026-07-16,2026-07-19,Retailer A,Purchase,INR,1215.57,Completed,REF200046,External Settlement File,CUST5451
TXN100047,2026-07-01,2026-07-03,Utility Co,Purchase,INR,534.99,Completed,REF200047,External Settlement File,CUST6416
TXN100048,2026-07-12,2026-07-15,Retailer A,Purchase,INR,372.76,Completed,REF200048,External Settlement File,CUST8466
TXN100049,2026-07-23,2026-07-25,Digital Store,Purchase,USD,546.8,Completed,REF200049,External Settlement File,CUST5348
TXN100050,2026-07-04,2026-07-07,Digital Store,Purchase,INR,402.73,Completed,REF200050,External Settlement File,CUST7156
TXN100051,2026-07-19,2026-07-20,Retailer A,Purchase,INR,5892.49,Completed,REF200051,External Settlement File,CUST2124
TXN100052,2026-07-04,2026-07-05,Retailer A,Refund,INR,1144.34,Completed,REF200052,External Settlement File,CUST6704
TXN100053,2026-07-15,2026-07-17,Utility Co,Purchase,INR,2708.74,Completed,REF200053,External Settlement File,CUST4782
TXN100054,2026-07-09,2026-07-10,Retailer B,Purchase,INR,348.54,Completed,REF200054,External Settlement File,CUST2830
TXN100055,2026-07-07,2026-07-08,Retailer A,Purchase,INR,726.54,Completed,REF200055,External Settlement File,CUST1636
TXN100056,2026-07-03,2026-07-04,Retailer A,Purchase,INR,4815.7,Completed,REF200056,External Settlement File,CUST4642
TXN100058,2026-07-16,2026-07-17,Utility Co,Purchase,INR,552.22,Completed,REF200058,External Settlement File,CUST2295
TXN100059,2026-07-06,2026-07-07,Utility Co,Reversal,USD,616.97,Completed,REF200059,External Settlement File,CUST9460
TXN100060,2026-07-25,2026-07-26,Utility Co,Purchase,INR,566.38,Completed,REF200060,External Settlement File,CUST7344
TXN100061,2026-07-16,2026-07-19,Utility Co,Purchase,INR,478.15,Completed,REF200061,External Settlement File,CUST8493
TXN100062,2026-07-09,2026-07-10,Utility Co,Purchase,INR,4411.84,Completed,REF200062,External Settlement File,CUST7540
TXN100063,2026-07-05,2026-07-06,Travel Co,Purchase,INR,726.09,Completed,REF200063,External Settlement File,CUST8472
TXN100064,2026-07-18,2026-07-19,Travel Co,Purchase,INR,506.52,Completed,REF200064,External Settlement File,CUST8745
TXN100065,2026-07-25,2026-07-26,Travel Co,Purchase,INR,2431.77,Pending,REF200065,External Settlement File,CUST7867
TXN100066,2026-07-01,2026-07-02,Retailer A,Purchase,INR,1216.84,Pending,REF200066,External Settlement File,CUST6529
TXN100067,2026-07-22,2026-07-23,Retailer A,Purchase,USD,5989.66,Pending,REF200067,External Settlement File,CUST9320
TXN100068,2026-07-11,2026-07-12,Retailer A,Purchase,EUR,851.23,Completed,REF200068,External Settlement File,CUST3649
TXN100069,2026-07-08,2026-07-09,Retailer B,Refund,INR,505.72,Completed,REF200069,External Settlement File,CUST7069
TXN100070,2026-07-23,2026-07-24,Utility Co,Purchase,USD,2660.88,Completed,REF200070,External Settlement File,CUST8616
TXN100071,2026-07-26,2026-07-27,Digital Store,Purchase,USD,2022.57,Completed,REF200071,External Settlement File,CUST2396
TXN100072,2026-07-11,2026-07-12,Digital Store,Purchase,INR,406.68,Completed,REF200072,External Settlement File,CUST5459
TXN100073,2026-07-09,2026-07-12,Travel Co,Purchase,INR,1598.01,Completed,REF200073,External Settlement File,CUST8113
TXN100074,2026-07-08,2026-07-10,Retailer A,Purchase,EUR,807.51,Completed,REF200074,External Settlement File,CUST1141
TXN100075,2026-07-22,2026-07-23,Travel Co,Purchase,INR,2616.96,Completed,REF200075,External Settlement File,CUST8031
TXN100076,2026-07-26,2026-07-28,Retailer B,Purchase,INR,1497.64,Completed,REF200076,External Settlement File,CUST6649
TXN100077,2026-07-18,2026-07-21,Digital Store,Purchase,INR,894.65,Completed,REF200077,External Settlement File,CUST1154
TXN100078,2026-07-25,2026-07-26,Digital Store,Purchase,INR,482.8,Reversed,REF200078,External Settlement File,CUST2516
TXN100079,2026-07-14,2026-07-15,Digital Store,Refund,INR,2834.6,Completed,REF200079,External Settlement File,CUST7950
TXN100080,2026-07-26,2026-07-28,Travel Co,Purchase,INR,937.0,Pending,REF200080,External Settlement File,CUST1952
TXN100081,2026-07-22,2026-07-24,Retailer A,Reversal,INR,2615.75,Completed,REF200081,External Settlement File,CUST5207
TXN100082,2026-07-03,2026-07-04,Digital Store,Purchase,INR,745.3,Completed,REF200082,External Settlement File,CUST1590
TXN100083,2026-07-27,2026-07-30,Food Services,Purchase,EUR,1721.61,Completed,REF200083,External Settlement File,CUST8258
TXN100084,2026-07-30,2026-07-31,Digital Store,Purchase,INR,1096.8,Completed,REF200084,External Settlement File,CUST8387
