Transaction ID,Transaction Date,Settlement Date,Merchant,Transaction Type,Currency,Transaction Amount,Transaction Status,Reference Number,Source/System,Customer Reference
TXN100000,2026-07-09,2026-07-10,Utility Co,Purchase,INR,2561.37,Completed,REF200000,Internal Transaction System,CUST8633
TXN100001,2026-07-01,2026-07-04,Utility Co,Reversal,INR,647.44,Completed,REF200001,Internal Transaction System,CUST9611
TXN100002,2026-07-23,2026-07-24,Retailer B,Purchase,EUR,1112.31,Completed,REF200002,Internal Transaction System,CUST9800
TXN100003,2026-07-29,2026-07-30,Utility Co,Reversal,EUR,370.72,Completed,REF200003,Internal Transaction System,CUST4287
TXN100004,2026-07-16,2026-07-17,Food Services,Purchase,INR,927.97,Pending,REF200004,Internal Transaction System,CUST3602
TXN100005,2026-07-31,2026-08-02,Utility Co,Purchase,INR,228.29,Completed,REF200005,Internal Transaction System,CUST2298
TXN100006,2026-07-04,2026-07-07,Digital Store,Purchase,INR,463.93,Completed,REF200006,Internal Transaction System,CUST5446
TXN100007,2026-07-25,2026-07-28,Retailer B,Purchase,EUR,2439.77,Completed,REF200007,Internal Transaction System,CUST8424
TXN100008,2026-07-25,2026-07-26,Utility Co,Purchase,USD,467.41,Completed,REF200008,Internal Transaction System,CUST6060
TXN100009,2026-07-01,2026-07-02,Digital Store,Purchase,USD,588.65,Completed,REF200009,Internal Transaction System,CUST4944
TXN100010,2026-07-05,2026-07-06,Digital Store,Purchase,GBP,1650.26,Completed,REF200010,Internal Transaction System,CUST4043
TXN100011,2026-07-10,2026-07-11,Retailer B,Purchase,GBP,936.23,Completed,REF200011,Internal Transaction System,CUST4846
TXN100012,2026-07-13,2026-07-14,Digital Store,Purchase,INR,354.0,Completed,REF200012,Internal Transaction System,CUST5435
TXN100013,2026-07-15,2026-07-17,Digital Store,Purchase,INR,735.6,Completed,REF200013,Internal Transaction System,CUST8754
TXN100014,2026-07-06,2026-07-08,Retailer B,Purchase,INR,2526.73,Completed,REF200014,Internal Transaction System,CUST6787
TXN100015,2026-07-28,2026-07-30,Food Services,Purchase,INR,656.54,Completed,REF200015,Internal Transaction System,CUST5827
TXN100016,2026-07-16,2026-07-17,Retailer A,Purchase,INR,447.41,Completed,REF200016,Internal Transaction System,CUST6735
TXN100017,2026-07-12,2026-07-13,Retailer B,Purchase,EUR,334.23,Completed,REF200017,Internal Transaction System,CUST5422
TXN100018,2026-07-15,2026-07-16,Travel Co,Reversal,INR,997.64,Completed,REF200018,Internal Transaction System,CUST3623
TXN100019,2026-07-14,2026-07-15,Retailer A,Purchase,INR,1503.56,Completed,REF200019,Internal Transaction System,CUST5935
TXN100020,2026-07-26,2026-07-27,Retailer B,Purchase,INR,501.52,Completed,REF200020,Internal Transaction System,CUST7087
TXN100021,2026-07-18,2026-07-19,Retailer B,Purchase,INR,470.5,Pending,REF200021,Internal Transaction System,CUST8342
TXN100022,2026-07-19,2026-07-20,Food Services,Purchase,INR,792.06,Pending,REF200022,Internal Transaction System,CUST5868
TXN100023,2026-07-21,2026-07-22,Travel Co,Purchase,INR,683.35,Completed,REF200023,Internal Transaction System,CUST1349
TXN100024,2026-07-02,2026-07-03,Utility Co,Purchase,USD,2042.89,Completed,REF200024,Internal Transaction System,CUST4477
TXN100025,2026-07-28,2026-07-31,Retailer A,Purchase,USD,788.39,Completed,REF200025,Internal Transaction System,CUST1947
TXN100026,2026-07-26,2026-07-27,Retailer B,Purchase,INR,556.41,Completed,REF200026,Internal Transaction System,CUST5378
TXN100027,2026-07-07,2026-07-08,Retailer B,Purchase,INR,651.14,Completed,REF200027,Internal Transaction System,CUST5406
TXN100028,2026-07-03,2026-07-04,Retailer B,Purchase,INR,851.75,Completed,REF200028,Internal Transaction System,CUST8520
TXN100029,2026-07-01,2026-07-02,Retailer B,Refund,GBP,1006.53,Completed,REF200029,Internal Transaction System,CUST4135
TXN100030,2026-07-23,2026-07-24,Retailer A,Purchase,INR,369.01,Completed,REF200030,Internal Transaction System,CUST1265
TXN100031,2026-07-08,2026-07-09,Retailer A,Reversal,INR,1186.19,Completed,REF200031,Internal Transaction System,CUST9000
TXN100032,2026-07-26,2026-07-27,Digital Store,Purchase,INR,429.59,Completed,REF200032,Internal Transaction System,CUST3492
TXN100033,2026-07-14,2026-07-17,Retailer A,Purchase,USD,1407.62,Completed,REF200033,Internal Transaction System,CUST3659
TXN100034,2026-07-14,2026-07-15,Retailer A,Purchase,INR,268.74,Completed,REF200034,Internal Transaction System,CUST7986
TXN100035,2026-07-26,2026-07-28,Food Services,Purchase,INR,889.14,Completed,REF200035,Internal Transaction System,CUST1996
TXN100036,2026-07-24,2026-07-25,Food Services,Purchase,USD,1017.18,Pending,REF200036,Internal Transaction System,CUST6294
TXN100037,2026-07-11,2026-07-12,Digital Store,Purchase,INR,547.2,Completed,REF200037,Internal Transaction System,CUST9279
TXN100038,2026-07-08,2026-07-10,Retailer A,Purchase,USD,1123.99,Completed,REF200038,Internal Transaction System,CUST3138
TXN100039,2026-07-02,2026-07-03,Retailer A,Purchase,INR,802.72,Completed,REF200039,Internal Transaction System,CUST2639
TXN100040,2026-07-02,2026-07-03,Utility Co,Purchase,INR,934.44,Completed,REF200040,Internal Transaction System,CUST9721
TXN100041,2026-07-24,2026-07-26,Travel Co,Purchase,INR,2130.27,Completed,REF200041,Internal Transaction System,CUST5949
TXN100042,2026-07-18,2026-07-19,Retailer A,Reversal,USD,1864.39,Completed,REF200042,Internal Transaction System,CUST5752
TXN100043,2026-07-26,2026-07-27,Food Services,Refund,INR,442.15,Completed,REF200043,Internal Transaction System,CUST6418
TXN100044,2026-07-26,2026-07-28,Travel Co,Purchase,INR,2575.91,Pending,REF200044,Internal Transaction System,CUST6061
TXN100045,2026-07-03,2026-07-05,Retailer B,Reversal,INR,650.89,Completed,REF200045,Internal Transaction System,CUST2792
TXN100046,2026-07-16,2026-07-19,Retailer A,Purchase,INR,1215.57,Completed,REF200046,Internal Transaction System,CUST5451
TXN100047,2026-07-01,2026-07-03,Utility Co,Purchase,INR,534.99,Completed,REF200047,Internal Transaction System,CUST6416
TXN100048,2026-07-12,2026-07-15,Retailer A,Purchase,INR,372.76,Completed,REF200048,Internal Transaction System,CUST8466
